42nd Street,1980-08-18,2025-04-24
A Chorus Line,1975-07-25,2025-04-24
Aren't We All?,1985-04-29,2025-04-24
Arms and the Man,1985-05-30,2025-04-24
As Is,1985-05-01,2025-04-24
Big River,1985-04-25,2025-04-24
Biloxi Blues,1985-03-28,2025-04-24
Brighton Beach Memoirs,1983-03-27,2025-04-24
Cats,1982-10-07,2025-04-24
Doubles,1985-05-08,2025-04-24
Grind,1985-04-16,2025-04-24
La Cage aux Folles,1983-08-09,2025-04-24
Leader of the Pack,1985-02-21,2025-04-24
Oh! Calcutta!,1976-09-24,2025-04-24
Singin' in the Rain,1985-06-13,2025-04-24
Sunday in the Park with George,1984-04-02,2025-04-24
The King and I,1984-12-26,2025-04-24
The Odd Couple,1985-06-04,2025-04-24
The Tap Dance Kid,1983-11-16,2025-04-24
